"pop1","pop2","pop3","pop4","est","se","z","p","n"
"IR9","KA1","FA1","SP1",0.0259044373416825,0.00479070965664207,5.40722339659372,6.40092862439148e-08,68253835
"IR9","KA1","FA4","SP1",0.023184121961617,0.00484162506168586,4.78850007306106,1.6803250257601e-06,68290011
"IR9","KA1","FA5","SP1",0.0231066962182736,0.00500652275103097,4.61531832917674,3.92493246653637e-06,68210782
"IR9","KA1","FA6","SP1",0.025839587852315,0.00451770044010995,5.71963285190421,1.06754476891979e-08,68256998
"IR9","KA1","FA7","SP1",0.0223662363951806,0.00510475264840566,4.38145350728523,1.17890201927147e-05,68270473
"IR9","KA2","FA1","SP1",-0.00887767682290097,0.0067754316904224,-1.3102747143699,0.190102918220324,68277266
"IR9","KA2","FA4","SP1",-0.0100399283584,0.00688059437821805,-1.45916585203504,0.144519465012686,68313486
"IR9","KA2","FA5","SP1",-0.0115538597943225,0.0068265892242941,-1.6924791304573,0.0905546559640953,68233838
"IR9","KA2","FA6","SP1",-0.00905032060103968,0.00663744745633252,-1.36352425545834,0.172717345454965,68280296
"IR9","KA2","FA7","SP1",-0.0128513310506973,0.00686895201676871,-1.87093038637105,0.0613547305910786,68293790
"IR9","KA5","FA1","SP1",0.0124431965236661,0.00615666915318714,2.02109228449032,0.0432702128979675,68247313
"IR9","KA5","FA4","SP1",0.012042630289651,0.00636907559294738,1.89079719873102,0.0586514212763708,68283188
"IR9","KA5","FA5","SP1",0.00877298412810197,0.00629814494067728,1.39294732190755,0.163635720941777,68203704
"IR9","KA5","FA6","SP1",0.0129960646992393,0.00609716216733921,2.13149402009603,0.0330484645668855,68250473
"IR9","KA5","FA7","SP1",0.00988898009801133,0.00630727321809792,1.56786930834646,0.116911635800726,68263495
"IR9","KA6","FA1","SP1",0.0105128811122743,0.00623575893379939,1.68590242565212,0.0918145946724028,68262148
"IR9","KA6","FA4","SP1",0.0111135466148072,0.00639782397084626,1.73708227444982,0.082372649616924,68298282
"IR9","KA6","FA5","SP1",0.00854754351147322,0.00644102045194071,1.32704803148045,0.184492794588971,68218908
"IR9","KA6","FA6","SP1",0.0114440192010494,0.00608606182463282,1.88036525602331,0.0600583153150515,68265250
"IR9","KA6","FA7","SP1",0.00927619066539385,0.00649616305908626,1.42794917261492,0.153306488726213,68278891
"IR9","KA9","FA1","SP1",-0.0296819330751494,0.00738101717872629,-4.02138788684834,5.78562432803949e-05,68290435
"IR9","KA9","FA4","SP1",-0.0336148391361878,0.00745752512639155,-4.50750598442205,6.55940812380904e-06,68326681
"IR9","KA9","FA5","SP1",-0.036097510934357,0.00745422365615144,-4.8425580717005,1.28178157173262e-06,68246627
"IR9","KA9","FA6","SP1",-0.0308502211101888,0.0071259904636071,-4.32925377429888,1.49615446262962e-05,68293275
"IR9","KA9","FA7","SP1",-0.0334454037066983,0.00736479881611671,-4.54125150486233,5.59212719565657e-06,68306954
"IR10","KA1","FA1","SP1",0.127510151487002,0.00515845763676014,24.7186582629546,6.73942561865096e-135,68235253
"IR10","KA1","FA4","SP1",0.125147839806286,0.00519699388312467,24.0808133741811,3.97165015927683e-128,68271217
"IR10","KA1","FA5","SP1",0.127124229158383,0.00513222568294809,24.7698049563089,1.89710446308802e-135,68192402
"IR10","KA1","FA6","SP1",0.127705591309018,0.00514129979445045,24.8391644943296,3.38616838923851e-136,68237993
"IR10","KA1","FA7","SP1",0.126938290502765,0.00509318017774007,24.9231886705194,4.17159119020273e-137,68251661
"IR10","KA2","FA1","SP1",0.0951130103966698,0.00739775842031705,12.8570041075488,7.85629797962821e-38,68258636
"IR10","KA2","FA4","SP1",0.0939309887676706,0.00741596362881783,12.6660530538017,9.1188405513224e-37,68294637
"IR10","KA2","FA5","SP1",0.0947094841891015,0.00736464910682275,12.8600131269473,7.55638376156677e-38,68215392
"IR10","KA2","FA6","SP1",0.0952147191105699,0.00736905568822444,12.9208847291954,3.43172628289534e-38,68261243
"IR10","KA2","FA7","SP1",0.0940761407161219,0.00741983283338292,12.679010811788,7.73012403992538e-37,68274926
"IR10","KA5","FA1","SP1",0.115099015013207,0.00638240511039545,18.0337996448607,1.05767298430632e-72,68228977
"IR10","KA5","FA4","SP1",0.114463483487298,0.00649309239224288,17.628500654641,1.48862527582779e-69,68264634
"IR10","KA5","FA5","SP1",0.113764515218693,0.00649606976302797,17.5128222708102,1.14379919190842e-68,68185563
"IR10","KA5","FA6","SP1",0.115798998916134,0.00643803420605982,17.9867014075722,2.47668618249494e-72,68231715
"IR10","KA5","FA7","SP1",0.115260746978149,0.00637317843285556,18.0852847903876,4.16211972351706e-73,68244928
"IR10","KA6","FA1","SP1",0.112762258597157,0.00656468546942428,17.1770999726277,3.94127775597929e-66,68244238
"IR10","KA6","FA4","SP1",0.113088497272549,0.0065834722269074,17.1776371760699,3.90495463991636e-66,68280155
"IR10","KA6","FA5","SP1",0.113003303287105,0.00658954075136879,17.1488890578045,6.40655369723345e-66,68201192
"IR10","KA6","FA6","SP1",0.113784852218565,0.00655430420240342,17.3603251702662,1.64787479129643e-67,68246918
"IR10","KA6","FA7","SP1",0.114149817084938,0.00654851044110375,17.4314171309007,4.76503466432523e-68,68260743
"IR10","KA9","FA1","SP1",0.0756595011743946,0.00709013999770903,10.6710870587664,1.38990690123383e-26,68271990
"IR10","KA9","FA4","SP1",0.0718282794653501,0.00716620533156639,10.0231958396383,1.2054090036079e-23,68308007
