"pop1","pop2","pop3","pop4","est","se","z","p","n"
"IR9","KA1","FA1","SP1",0.0119339233958964,0.0191311462698864,0.623795523150702,0.532761880112426,2791632
"IR9","KA1","FA4","SP1",0.0143738642206051,0.0195815074013275,0.734052998372877,0.462916437916194,2793046
"IR9","KA1","FA5","SP1",0.0181871133244793,0.0188676498208189,0.963931040548112,0.335080500238939,2786586
"IR9","KA1","FA6","SP1",0.0153031869425238,0.0195902907442738,0.781161808279794,0.434707333047778,2789957
"IR9","KA1","FA7","SP1",0.0186079861018071,0.0212111608102881,0.877273350017771,0.380338183744097,2792298
"IR9","KA2","FA1","SP1",-0.00960168131550881,0.0261838894271854,-0.366701873768985,0.713841408723239,2781268
"IR9","KA2","FA4","SP1",-0.00372674170227274,0.0268869772379415,-0.138607686140849,0.889760169282559,2782667
"IR9","KA2","FA5","SP1",-0.0040611197773292,0.0263407448948272,-0.154176345184784,0.877470692977562,2776258
"IR9","KA2","FA6","SP1",-0.00919608843544942,0.0273840863837057,-0.33581870530913,0.737007583723895,2779591
"IR9","KA2","FA7","SP1",-0.00602035395391455,0.0271189304143369,-0.221998207965155,0.824315278365102,2781910
"IR9","KA5","FA1","SP1",0.0176879070903126,0.0231314117134411,0.764670453729145,0.444467804358546,2783714
"IR9","KA5","FA4","SP1",0.0185290194620806,0.0238228217882959,0.777784413061592,0.436696118372144,2785116
"IR9","KA5","FA5","SP1",0.0208783243542856,0.0235173250562888,0.887784826901584,0.374656506207652,2778698
"IR9","KA5","FA6","SP1",0.0191950855135236,0.0241709641430276,0.79413818166044,0.427114991877962,2782059
"IR9","KA5","FA7","SP1",0.0200442698837725,0.0234685516477567,0.854090622404833,0.393054779424304,2784373
"IR9","KA6","FA1","SP1",0.0236708920518666,0.0168451576987868,1.40520453860586,0.159960464930729,2791313
"IR9","KA6","FA4","SP1",0.0232712693721285,0.0172805391766086,1.34667495813031,0.17808494084237,2792722
"IR9","KA6","FA5","SP1",0.0239496934528623,0.0176263545158163,1.35874343338391,0.174227903731421,2786234
"IR9","KA6","FA6","SP1",0.0233238209164044,0.0177842693755453,1.3114860343083,0.189693608997838,2789626
"IR9","KA6","FA7","SP1",0.0264782254751183,0.0175713272332916,1.50689957130564,0.131836401362011,2791980
"IR9","KA9","FA1","SP1",0.0312425476993712,0.0256793757881048,1.21663968615014,0.223741336186151,2790916
"IR9","KA9","FA4","SP1",0.0301772957509689,0.0252519345496973,1.19504886612066,0.232067938461994,2792335
"IR9","KA9","FA5","SP1",0.0318394153685928,0.0256142968809852,1.24303296383782,0.213855686556623,2785853
"IR9","KA9","FA6","SP1",0.0271978770434844,0.0258230912058546,1.05323862378328,0.292231640663642,2789226
"IR9","KA9","FA7","SP1",0.0350878623492104,0.0267977526854215,1.30935839139596,0.190412978852324,2791581
"IR10","KA1","FA1","SP1",0.00990845554839581,0.025323716976735,0.391271769365403,0.695596363677164,2796646
"IR10","KA1","FA4","SP1",0.00884008953495069,0.0257791970341048,0.342915627793047,0.731661934554417,2798014
"IR10","KA1","FA5","SP1",0.010264237630455,0.026448134978459,0.388089278840069,0.697949965648213,2791581
"IR10","KA1","FA6","SP1",0.0155348765386197,0.025946377207551,0.598730081442686,0.549352894001796,2794943
"IR10","KA1","FA7","SP1",0.0141383638709406,0.0265821613161885,0.531874128020221,0.594813177294514,2797314
"IR10","KA2","FA1","SP1",-0.0106767268953492,0.0288770029035284,-0.369731129335608,0.711582834989964,2786174
"IR10","KA2","FA4","SP1",-0.00784432417828743,0.0287774613914527,-0.272585690293631,0.785171713017882,2787526
"IR10","KA2","FA5","SP1",-0.0101615881483005,0.0270106552427887,-0.376206650929488,0.706763271286105,2781145
"IR10","KA2","FA6","SP1",-0.00768827688906283,0.029280145698199,-0.262576456015918,0.792877048827742,2784468
"IR10","KA2","FA7","SP1",-0.00902794842856747,0.0314520198420261,-0.287038748986936,0.77408265062667,2786816
"IR10","KA5","FA1","SP1",0.0169291079192337,0.0238601559327878,0.709513716797229,0.478005742448265,2788660
"IR10","KA5","FA4","SP1",0.0146050129994754,0.0238123374026613,0.613338067259332,0.539652827659825,2790016
"IR10","KA5","FA5","SP1",0.0148104795596679,0.0239708906310535,0.617852702580914,0.536672439061427,2783625
"IR10","KA5","FA6","SP1",0.0204354608305151,0.0244247656414758,0.836669679065969,0.402778267038251,2786975
"IR10","KA5","FA7","SP1",0.0174815090382759,0.0254464765180946,0.686991341447412,0.492088184745771,2789320
"IR10","KA6","FA1","SP1",0.0209009084927488,0.0230890280122808,0.905231198196469,0.365342917099144,2796362
"IR10","KA6","FA4","SP1",0.0177877306135855,0.0230646595914301,0.771211495364739,0.440581581610139,2797724
"IR10","KA6","FA5","SP1",0.0162305138010848,0.0230826769519139,0.703146945863186,0.481964178282385,2791264
"IR10","KA6","FA6","SP1",0.0231803802928701,0.0236478552965022,0.980231822388511,0.326971699722867,2794645
"IR10","KA6","FA7","SP1",0.0218929748093655,0.024731914985654,0.885211469555218,0.376042587444761,2797030
"IR10","KA9","FA1","SP1",0.0282467325305232,0.0295145349238587,0.957044812103388,0.338544637121254,2795843
"IR10","KA9","FA4","SP1",0.0250000051099823,0.0295517552377653,0.845973611680222,0.39756746539308,2797216
"IR10","KA9","FA5","SP1",0.0244398182551934,0.0294787788435369,0.829064812518572,0.407067733520791,2790761
"IR10","KA9","FA6","SP1",0.0267160333745455,0.0296313843196666,0.901612732173766,0.367262625133185,2794123
"IR10","KA9","FA7","SP1",0.0305880555549097,0.0336593668916781,0.908753145991947,0.363480443785132,2796510
"CE2","KA1","FA1","SP1",-0.011125940688412,0.0219789698311048,-0.506208469910471,0.612710309675698,2788968
"CE2","KA1","FA4","SP1",-0.015529460276318,0.0209879576111493,-0.739922414750275,0.459347072747668,2790321
"CE2","KA1","FA5","SP1",-0.00490008332971776,0.0217710838479831,-0.225073008029029,0.821922478747908,2784020
"CE2","KA1","FA6","SP1",-0.00520690814833612,0.0224226274820411,-0.232216681675975,0.816369721754109,2787309
"CE2","KA1","FA7","SP1",-0.00775287348806901,0.0215762858459885,-0.359323821690582,0.719352855557498,2789639
"CE2","KA2","FA1","SP1",-0.03777668122194,0.036897224509635,-1.02383530804804,0.305913070264256,2778777
"CE2","KA2","FA4","SP1",-0.0365554567091498,0.0376555746233943,-0.970784726425047,0.331655489948988,2780117
"CE2","KA2","FA5","SP1",-0.0316687013383798,0.0367648720923147,-0.86138478216003,0.389026154640809,2773858
"CE2","KA2","FA6","SP1",-0.0354319882148997,0.0371442564461772,-0.953902207363913,0.340133146038813,2777115
"CE2","KA2","FA7","SP1",-0.037657060077797,0.0367189974114501,-1.02554706643636,0.30510512924711,2779425
"CE2","KA5","FA1","SP1",-0.0024150038203422,0.03496064042211,-0.0690777912299023,0.944927698823988,2781203
"CE2","KA5","FA4","SP1",-0.00855649346669148,0.034871943134038,-0.24536899001592,0.806170737586847,2782544
"CE2","KA5","FA5","SP1",-0.000179734230440774,0.0350527822176725,-0.00512753108511192,0.995908840039333,2776280
"CE2","KA5","FA6","SP1",0.000781150114858695,0.0352862534616344,0.02213751923842,0.982338257777926,2779552
"CE2","KA5","FA7","SP1",-0.00451410916696419,0.0350155869952471,-0.128917135319677,0.897423217788849,2781860
"CE2","KA6","FA1","SP1",0.00321553839249928,0.0279326435534796,0.115117582277626,0.908351923909663,2788500
"CE2","KA6","FA4","SP1",-0.00359334014006307,0.0280966356070494,-0.127892185752002,0.898234295129383,2789852
"CE2","KA6","FA5","SP1",0.0023290290932761,0.0282988911118933,0.0823010726486479,0.934407301465706,2783520
"CE2","KA6","FA6","SP1",0.00433475990180029,0.0286613008295167,0.151240864034202,0.879785716186691,2786825
"CE2","KA6","FA7","SP1",0.00223009669959713,0.0275136827026824,0.0810540967450974,0.935398931006776,2789169
"CE2","KA9","FA1","SP1",0.0160011451990837,0.032991935823025,0.485001707232848,0.627675134485835,2787952
"CE2","KA9","FA4","SP1",0.0084503426520654,0.0329117307609766,0.25675777167225,0.797365770721968,2789314
"CE2","KA9","FA5","SP1",0.0160219482455324,0.033248848477745,0.481879793709445,0.629891341049449,2782987
"CE2","KA9","FA6","SP1",0.0118535295734549,0.0334980621904344,0.353857172575187,0.723445924350096,2786276
"CE2","KA9","FA7","SP1",0.0170040467550674,0.0322278675041774,0.527619357776725,0.59776355460099,2788621
"CE3","KA1","FA1","SP1",0.0534621764649056,0.0339724500215449,1.5736921073105,0.115558647405558,2787560
"CE3","KA1","FA4","SP1",0.0496157518130116,0.0325838365437401,1.52271055455389,0.127831136209669,2788930
"CE3","KA1","FA5","SP1",0.0615844659491398,0.034559517924158,1.78198278356454,0.0747520393237037,2782586
"CE3","KA1","FA6","SP1",0.0626041578511333,0.0355886846166285,1.75910288692946,0.0785600346644447,2785882
"CE3","KA1","FA7","SP1",0.0621760210395289,0.0345906090658548,1.79748269020519,0.0722590237112609,2788237
"CE3","KA2","FA1","SP1",0.0278887445368133,0.0427012699478773,0.653112766221128,0.513683582676878,2777574
