"pop1","pop2","pop3","pop4","est","se","z","p","n"
"XG1","CN6","UQ1","SP1",0.436680026686602,0.00676266525260126,64.5721783314106,0,70089464
"XG1","CN6","CN1","SP1",0.429499463859022,0.00733140938595671,58.5834784620986,0,70336346
"XG1","CN6","CN10","SP1",0.43979086700022,0.00686882911417637,64.0270502715739,0,70337412
"XG1","CN6","AL1","SP1",0.435808865866698,0.0067232263541224,64.821388260932,0,69183763
"XG1","CN6","AL2","SP1",0.435195280402028,0.00670043044974655,64.9503466480262,0,68801456
"XG1","CN6","QT1","SP1",0.427097497069051,0.00709403172117949,60.2051856906611,0,68905165
"XG1","CN6","QT2","SP1",0.427358846051244,0.00708653292690232,60.3057730006276,0,68436104
"XG1","CN6","KL1","SP1",0.428652222055858,0.007044059755743,60.8530076290707,0,68223658
"XG1","CN6","KL2","SP1",0.429653470110122,0.00712585315432632,60.2950216353065,0,69969012
"XG1","CN6","FH1","SP1",0.437195324757414,0.00661292753017995,66.1122207618563,0,67054733
"XG1","GD15","UQ1","SP1",0.435049640564521,0.00701622569697137,62.0062209162279,0,69962871
"XG1","GD15","CN1","SP1",0.439642301689029,0.00710740763582698,61.8569138307029,0,70206969
"XG1","GD15","CN10","SP1",0.439316068893938,0.00712138569381862,61.6896890271321,0,70208153
"XG1","GD15","AL1","SP1",0.43572056380369,0.00691654508989384,62.9968514830253,0,69058999
"XG1","GD15","AL2","SP1",0.433631362615071,0.00698589738047317,62.0723922780697,0,68679098
"XG1","GD15","QT1","SP1",0.435100455145528,0.006960987863938,62.5055615165777,0,68781982
"XG1","GD15","QT2","SP1",0.435230231194402,0.00696915780121392,62.4509077866757,0,68314454
"XG1","GD15","KL1","SP1",0.436514442016233,0.00692845487442817,63.0031442691989,0,68102581
"XG1","GD15","KL2","SP1",0.435308061937978,0.00707106500854436,61.5618809064789,0,69844189
"XG1","GD15","FH1","SP1",0.4363516820717,0.00688844749020976,63.345431999281,0,66936159
"XG1","GD7","UQ1","SP1",0.438263250294658,0.00690760791423043,63.4464572593629,0,69982344
"XG1","GD7","CN1","SP1",0.441591817044584,0.00709378663037079,62.2505073882525,0,70226321
"XG1","GD7","CN10","SP1",0.442232394077712,0.00712441753339385,62.0727788629545,0,70227522
"XG1","GD7","AL1","SP1",0.438510910502183,0.00686614293013835,63.8656833922546,0,69077229
"XG1","GD7","AL2","SP1",0.437711022513238,0.00684667987350839,63.9304057732942,0,68696845
"XG1","GD7","QT1","SP1",0.439380672781931,0.00680802681207755,64.5386225569004,0,68799834
"XG1","GD7","QT2","SP1",0.438914606647777,0.0068263262761676,64.2973378199247,0,68331542
"XG1","GD7","KL1","SP1",0.43933075509459,0.00682518347338639,64.3690762025202,0,68119162
"XG1","GD7","KL2","SP1",0.439633752043231,0.00692742173688688,63.4628248056972,0,69862864
"XG1","GD7","FH1","SP1",0.43949031931321,0.00676808041844896,64.9357413241151,0,66951693
"XG1","TW4","UQ1","SP1",0.436711551907372,0.00766830060348078,56.9502389759134,0,70060963
"XG1","TW4","CN1","SP1",0.441098840173996,0.00777744585613286,56.7151283767756,0,70308388
"XG1","TW4","CN10","SP1",0.441150001992373,0.00776570275304735,56.8074797634072,0,70310180
"XG1","TW4","AL1","SP1",0.437069303611485,0.00750396599741971,58.2451071555727,0,69155593
"XG1","TW4","AL2","SP1",0.436069607405702,0.00755911768744354,57.6878976404954,0,68774941
"XG1","TW4","QT1","SP1",0.437245651256893,0.00747243385619171,58.5144893446715,0,68877619
"XG1","TW4","QT2","SP1",0.436912514066882,0.00756107530349476,57.7844415681113,0,68409257
"XG1","TW4","KL1","SP1",0.439105101034523,0.00746388628222784,58.830625820234,0,68196897
