"pop1","pop2","pop3","pop4","est","se","z","p","n"
"XG1","CN6","UQ1","SP1",0.488468033185235,0.0797238361136989,6.12700112032494,8.95508418803553e-10,2460328
"XG1","CN6","CN1","SP1",0.481368980283212,0.0808297843964678,5.95534163399608,2.5952910717287e-09,2460997
"XG1","CN6","CN10","SP1",0.476066451624151,0.0822681753940822,5.786763220938,7.17556102619407e-09,2460331
"XG1","CN6","AL1","SP1",0.486324758653574,0.0802323435231875,6.06145523485829,1.3489543409762e-09,2403883
"XG1","CN6","AL2","SP1",0.479415316474078,0.0789342750097456,6.07360131469995,1.25073025948178e-09,2174961
"XG1","CN6","QT1","SP1",0.477501543399951,0.079048217152512,6.04063646974709,1.53507485046972e-09,2186600
"XG1","CN6","QT2","SP1",0.476887226728039,0.0788203654115088,6.05030469268045,1.44572137149137e-09,2151747
"XG1","CN6","KL1","SP1",0.476682617211815,0.0772509296042392,6.17057451158046,6.80423003680435e-10,2129757
"XG1","CN6","KL2","SP1",0.48912234333817,0.0803139014209495,6.09013302410166,1.12816906493362e-09,2455927
"XG1","CN6","FH1","SP1",0.482340256868343,0.0758595583402676,6.35833199429938,2.03956290315496e-10,2019252
"XG1","GD15","UQ1","SP1",0.519369310189382,0.074921907477612,6.93214211536965,4.14515212664615e-12,2411418
"XG1","GD15","CN1","SP1",0.525122564833585,0.0718761930840495,7.30593180164016,2.75351814113471e-13,2411988
"XG1","GD15","CN10","SP1",0.520676339184073,0.0730124380491475,7.13133752407481,9.93982390928576e-13,2411354
"XG1","GD15","AL1","SP1",0.519225481510115,0.075053708964735,6.91805226779772,4.57895364578183e-12,2356272
"XG1","GD15","AL2","SP1",0.509239275054327,0.0741232518872837,6.87016910467861,6.41258424059257e-12,2132720
"XG1","GD15","QT1","SP1",0.510608149633951,0.0751240162800849,6.79686969517511,1.06916716738325e-11,2144160
"XG1","GD15","QT2","SP1",0.50848835480016,0.0743788031733497,6.83646863226692,8.11691206967314e-12,2109893
"XG1","GD15","KL1","SP1",0.509013606454086,0.0735073342382461,6.92466420839466,4.37010862100802e-12,2088657
"XG1","GD15","KL2","SP1",0.521819096977608,0.0752386187781031,6.93552201584905,4.04723858317302e-12,2407102
"XG1","GD15","FH1","SP1",0.508972970883756,0.072431201532435,7.0269850577563,2.11043957290104e-12,1980713
"XG1","GD7","UQ1","SP1",0.590187589070432,0.0601529396370631,9.81145048989076,1.00513219239677e-22,2422692
"XG1","GD7","CN1","SP1",0.589857714410511,0.060208640173239,9.7968948096703,1.16099885256982e-22,2423302
"XG1","GD7","CN10","SP1",0.583519220249991,0.0615976844748915,9.47307070427048,2.71735612902993e-21,2422609
"XG1","GD7","AL1","SP1",0.592198953431476,0.0592915406532364,9.98791643642592,1.72162360904427e-23,2367055
"XG1","GD7","AL2","SP1",0.579798055086865,0.0598239876378689,9.69173199547551,3.26936655507265e-22,2141804
"XG1","GD7","QT1","SP1",0.584316610918962,0.0582331488092738,10.0340892235233,1.07951023295172e-23,2153083
